feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2.amino.3.carboxymuconate.semialdehyde.degradation.to.2.hydroxypentadienoate	Altitude_group	Low	0.00559662324781098	0.00203435532715632	9	9	0.0284606420261465	0.329055741200852
X2.aminophenol.degradation	Altitude_group	Low	0.00543291048878486	0.00173094326419879	9	9	0.0164089757856383	0.329055741200852
Ergothioneine.Biosynthesis	Altitude_group	Low	0.00531226799175353	0.00189969392715785	9	9	0.0266625801417826	0.329055741200852
Fermentation.to.Acetate	Altitude_group	Low	0.00328983419362052	0.00122553571802107	9	9	0.0313386420191288	0.329055741200852
Formaldehyde.Assimilation	Altitude_group	Low	-0.00629798774151935	0.0020330725021745	9	9	0.0173765814248064	0.329055741200852
Nitroaromatic.Compound.Degradation	Altitude_group	Low	0.00548550121252259	0.00193448512707068	9	9	0.0252016298295463	0.329055741200852
Phosphorus.Compound.Metabolism	Altitude_group	Low	0.00564221832243208	0.0020854715261708	9	9	0.0303967215659246	0.329055741200852
coenzyme.B.biosynthesis	Altitude_group	Low	-0.00966536063274434	0.00319006371753911	9	9	0.0191190980155607	0.329055741200852
ectoine.biosynthesis	Altitude_group	Low	0.00681546477389025	0.00226264730535313	9	9	0.019602098196109	0.329055741200852
ethylmalonyl.CoA.pathway	Altitude_group	Low	0.00564756236147616	0.00169307074502119	9	9	0.0124932008762076	0.329055741200852
glycolysis.II..from.fructose.6.phosphate.	Altitude_group	Low	-0.00291145831902593	0.00107498637472523	9	9	0.0302703857105187	0.329055741200852
photorespiration	Altitude_group	Low	-0.00505150495251491	0.00186018405113657	9	9	0.0299557479087035	0.329055741200852
superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway	Altitude_group	Low	-0.00219866456489215	0.000787480473243034	9	9	0.0268301140405207	0.329055741200852
tRNA.processing	Altitude_group	Low	-0.00432158802097783	0.00137178985748972	9	9	0.0161446743148901	0.329055741200852
X4.Aminobutanoate.Degradation	Altitude_group	Low	0.00634599291521667	0.00267869803595223	9	9	0.0496749387281176	0.475534842201281
Sugar.Degradation	Altitude_group	Low	-0.0127852265819327	0.00547996687799284	9	9	0.0523754802757797	0.475534842201281
octane.oxidation	Altitude_group	Low	-0.0102850871645655	0.00454852047914946	9	9	0.0582287561879119	0.475534842201281
superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	Altitude_group	Low	0.00228180527904273	0.000994699629359229	9	9	0.0554824197195369	0.475534842201281
Glycerol.Degradation	Altitude_group	Low	-0.00276188059311637	0.0013975180632218	9	3	0.0886672783574544	0.479804229889084
aspartate.superpathway	Altitude_group	Low	0.00203214661255114	0.000968781423393236	9	9	0.0741299739597916	0.479804229889084
factor.420.biosynthesis	Altitude_group	Low	-0.00375856580233373	0.00192181102307031	9	9	0.091391281883635	0.479804229889084
glycolysis.I..from.glucose.6.phosphate.	Altitude_group	Low	-0.00203028260208696	0.00103244234892032	9	9	0.0899559464428124	0.479804229889084
isopropanol.biosynthesis..engineered.	Altitude_group	Low	0.00452186488404728	0.00205188833972805	9	9	0.0633784944646252	0.479804229889084
methylaspartate.cycle	Altitude_group	Low	-0.0033107735728225	0.00162206404473497	9	9	0.0805835203787246	0.479804229889084
superpathway.of.C1.compounds.oxidation.to.CO2	Altitude_group	Low	-0.00291693537957341	0.00135271918521748	9	9	0.0679733361396246	0.479804229889084
superpathway.of.arginine.and.polyamine.biosynthesis	Altitude_group	Low	-0.00549667788223738	0.00259407716378938	9	9	0.071834502599824	0.479804229889084
superpathway.of.polyamine.biosynthesis.I	Altitude_group	Low	-0.00514920858447482	0.00256057793631039	9	9	0.0842469247894589	0.479804229889084
superpathway.of.polyamine.biosynthesis.II	Altitude_group	Low	-0.00523920498457328	0.00253401922039103	9	9	0.077496832019968	0.479804229889084
X7..3.amino.3.carboxypropyl..wyosine.biosynthesis	Altitude_group	Low	-0.00112017082876946	0.000627537957722136	9	3	0.117429066009323	0.595243886323119
Allantoin.Degradation	Altitude_group	Low	0.00378461242265161	0.00219243006872879	9	9	0.127953047537312	0.626969932932827
Quinol.and.Quinone.Biosynthesis	Altitude_group	Low	-0.00332086767341872	0.00204518084550089	9	9	0.148457435497877	0.703975581231868
Coenzyme.M.Biosynthesis	Altitude_group	Low	-0.00494216839638899	0.00319229852130977	9	9	0.165512438976755	0.737282682714637
superpathway.of.S.adenosyl.L.methionine.biosynthesis	Altitude_group	Low	0.00251442540745139	0.00160984391129175	9	9	0.162280888673323	0.737282682714637
Propanoate.Degradation	Altitude_group	Low	-0.00489738147806254	0.0033126024930168	9	9	0.182827651304101	0.790460727697144
crotonate.fermentation..to.acetate.and.cyclohexane.carboxylate.	Altitude_group	Low	-0.00187349721648188	0.00131295648822975	9	2	0.196645382976455	0.82591060850111
NAD.Metabolism	Altitude_group	Low	0.000835553565973247	0.000616459612538278	9	9	0.217393151039381	0.84096824217866
Organic.Solute.Biosynthesis	Altitude_group	Low	-0.000536183927590021	0.000388872450745693	9	2	0.210398125342409	0.84096824217866
norspermidine.biosynthesis	Altitude_group	Low	-0.00198973099333669	0.00145443790932677	9	9	0.213592878868704	0.84096824217866
Fermentation.of.Pyruvate	Altitude_group	Low	0.00161226567386534	0.00140238084295323	9	9	0.288041566806848	0.895327976848231
Nitrogen.Compound.Metabolism	Altitude_group	Low	-0.00154260571315408	0.00131434243165076	9	9	0.278908906995259	0.895327976848231
Proteinogenic.Amino.Acid.Biosynthesis	Altitude_group	Low	0.00444056805293369	0.00386429257551456	9	9	0.288247827255645	0.895327976848231
TCA.cycle.IV..2.oxoglutarate.decarboxylase.	Altitude_group	Low	0.00203471139835144	0.00169867144932134	9	9	0.269965292795334	0.895327976848231
glutaryl.CoA.degradation	Altitude_group	Low	-0.00199601528999425	0.00172549756796051	9	4	0.285310136341138	0.895327976848231
nucleoside.and.nucleotide.degradation..archaea.	Altitude_group	Low	-0.00133977780017381	0.00104403555225003	9	4	0.240246520393965	0.895327976848231
p.cumate.degradation	Altitude_group	Low	0.00502315798677233	0.00441189022115081	9	1	0.292351992440239	0.895327976848231
p.cymene.degradation	Altitude_group	Low	0.00502315798677233	0.00441189022115081	9	1	0.292351992440239	0.895327976848231
superpathway.of.D.glucarate.and.D.galactarate.degradation	Altitude_group	Low	-0.0025679947815426	0.00206179250276291	9	9	0.253014252712093	0.895327976848231
tetrahydromethanopterin.biosynthesis	Altitude_group	Low	-0.00094219351529259	0.000817107262798877	9	2	0.286725265217569	0.895327976848231
superpathway.of.branched.chain.amino.acid.biosynthesis	Altitude_group	Low	0.00182420669921932	0.00164750701528098	9	9	0.304776476310096	0.896042840351682
superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	Altitude_group	Low	-0.00250738972816163	0.00224586561242588	9	9	0.301082656177593	0.896042840351682
X3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	Altitude_group	Low	0.00288534212011912	0.00269220555605723	9	9	0.319390795075102	0.904383644709147
aerobic.respiration.I..cytochrome.c.	Altitude_group	Low	0.00296292689406449	0.00280595872449496	9	9	0.326070293670645	0.904383644709147
superpathway.of.ornithine.degradation	Altitude_group	Low	-0.00911390788455494	0.0085901016486503	9	4	0.323928693379859	0.904383644709147
Fermentation.to.Alcohols	Altitude_group	Low	-0.00541646722605857	0.00523737808117354	9	9	0.335446086460965	0.913158790921517
Polyprenyl.Biosynthesis	Altitude_group	Low	0.00244018076057406	0.00242859883246826	9	9	0.348469317025907	0.931363447323788
Coenzyme.A.Biosynthesis	Altitude_group	Low	0.00146621405605012	0.00161149452390178	9	9	0.393152566303791	0.9350206538069
Naphthalene.Degradation	Altitude_group	Low	-0.000593811606830595	0.000673319073127465	9	1	0.407083822065589	0.9350206538069
TCA.cycle.I..prokaryotic.	Altitude_group	Low	0.00133923180456839	0.00140320034254687	9	9	0.371663250046504	0.9350206538069
TCA.cycle.VI..Helicobacter.	Altitude_group	Low	0.00220604398600663	0.00238967708621938	9	9	0.386640215755615	0.9350206538069
anaerobic.aromatic.compound.degradation..Thauera.aromatica.	Altitude_group	Low	-0.000253293418657042	0.000287207740498244	9	1	0.407083822065589	0.9350206538069
biphenyl.degradation	Altitude_group	Low	-0.000128704504725933	0.000145937190907953	9	1	0.407083822065589	0.9350206538069
naphthalene.degradation.to.acetyl.CoA	Altitude_group	Low	-0.000819741396619219	0.000929499374931094	9	1	0.407083822065589	0.9350206538069
pentose.phosphate.pathway..non.oxidative.branch.	Altitude_group	Low	-0.0014275339347541	0.00161750835175323	9	9	0.406763578407206	0.9350206538069
superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	Altitude_group	Low	-0.00259452368654991	0.00289561661418808	9	9	0.400005965876018	0.9350206538069
X.S..propane.1.2.diol.degradation	Altitude_group	Low	-0.0013770187557121	0.0022578405443451	9	7	0.561206968892743	0.964331385579049
X1.5.anhydrofructose.degradation	Altitude_group	Low	0.00152345273270647	0.00248546590320809	9	9	0.559292589146785	0.964331385579049
X2..Deoxyribonucleotide.Biosynthesis	Altitude_group	Low	0.00137058864236906	0.00227180111442997	9	9	0.565333581284843	0.964331385579049
X4.hydroxyphenylacetate.degradation	Altitude_group	Low	-0.00190693485695181	0.00478850916784555	9	9	0.702326223722162	0.964331385579049
X4.methylcatechol.degradation..ortho.cleavage.	Altitude_group	Low	-0.0012247259487193	0.00712061570021473	9	9	0.868306648777809	0.964331385579049
X8.Amino.7.oxononanoate.Biosynthesis	Altitude_group	Low	-0.00131399582496751	0.00263839008711162	9	9	0.633726473795901	0.964331385579049
Anaerobic.Respiration	Altitude_group	Low	-0.00369468145962736	0.0058787507149856	9	8	0.549637717093374	0.964331385579049
Benzoate.Degradation	Altitude_group	Low	0.00267641479559188	0.00522633028015581	9	7	0.624336224337067	0.964331385579049
Butanediol.Biosynthesis	Altitude_group	Low	-0.00107138397707304	0.00597904719926474	9	9	0.862865029829773	0.964331385579049
CO2.Fixation	Altitude_group	Low	-0.00226113332531143	0.00685409493299423	9	9	0.751131799154767	0.964331385579049
Catechol.Degradation	Altitude_group	Low	0.00301629576885757	0.0104814416096681	9	9	0.781852523548412	0.964331385579049
Cell.Wall.Biosynthesis	Altitude_group	Low	-0.000833982473463526	0.0025026858575241	9	9	0.748715656567628	0.964331385579049
Chloroaromatic.Compound.Degradation	Altitude_group	Low	0.000246525682337054	0.0022410321440011	9	9	0.915492440303505	0.964331385579049
Chorismate.Biosynthesis	Altitude_group	Low	0.000521700926209108	0.00210928552369347	9	9	0.811746377390353	0.964331385579049
Creatinine.Degradation	Altitude_group	Low	-0.00208229353253963	0.00348332189717214	9	6	0.568807133582017	0.964331385579049
Fatty.Acid.Biosynthesis	Altitude_group	Low	0.00667254571520165	0.0093728795030601	9	9	0.499558902673529	0.964331385579049
Fatty.Acid.Degradation	Altitude_group	Low	0.000363470824820192	0.00258609084638626	9	9	0.892185641852039	0.964331385579049
Fermentation.to.Short.Chain.Fatty.Acids	Altitude_group	Low	0.000482440801695913	0.000945668839185628	9	9	0.62562888090661	0.964331385579049
Formaldehyde.Oxidation	Altitude_group	Low	-0.000284383412078712	0.00189995526744598	9	9	0.885239193815931	0.964331385579049
Gallate.Degradation	Altitude_group	Low	0.00234501679176977	0.00399191774926205	9	9	0.575358243575047	0.964331385579049
Glycine.Betaine.Degradation	Altitude_group	Low	-0.00127760335704274	0.00168500926282304	9	8	0.473070482790474	0.964331385579049
Lipopolysaccharide.Biosynthesis	Altitude_group	Low	0.000859346391896951	0.00263630560990164	9	9	0.753978150426002	0.964331385579049
Mandelate.Degradation	Altitude_group	Low	0.0014119615939365	0.00380043023144693	9	9	0.721235656915152	0.964331385579049
Nicotinate.Degradation	Altitude_group	Low	-0.000300075516576787	0.00174175218136795	9	9	0.868089740626495	0.964331385579049
Other.Amino.Acid.Biosynthesis	Altitude_group	Low	-0.000260514027546788	0.00109347321956413	9	9	0.818515239177387	0.964331385579049
Phospholipid.Biosynthesis	Altitude_group	Low	0.0010893354340723	0.00411536672325724	9	9	0.798865738524243	0.964331385579049
Polysaccharide.Degradation	Altitude_group	Low	0.00210935671367241	0.00344721615158858	9	9	0.559944383012032	0.964331385579049
Porphyrin.Compound.Biosynthesis	Altitude_group	Low	0.000200509131171614	0.00225146796555878	9	9	0.931530998314455	0.964331385579049
Protocatechuate.Degradation	Altitude_group	Low	0.00296623263534753	0.00567635676931694	9	9	0.617406558087486	0.964331385579049
Purine.Nucleotide.Biosynthesis	Altitude_group	Low	0.0033809790016266	0.00669742488729724	9	9	0.629187644699757	0.964331385579049
Purine.Nucleotide.Degradation	Altitude_group	Low	-0.00122125417859164	0.00344088107668692	9	9	0.733098760446921	0.964331385579049
Pyrimidine.Nucleotide.Biosynthesis	Altitude_group	Low	0.000527598059590563	0.00491264615419076	9	9	0.917488215338138	0.964331385579049
Pyrimidine.Nucleotide.Degradation	Altitude_group	Low	-0.00187347591638761	0.00233021312406846	9	9	0.447839419156499	0.964331385579049
Queuosine.Biosynthesis.and.Salvage	Altitude_group	Low	-0.000613617657016061	0.00244241336467178	9	9	0.808848662619393	0.964331385579049
Reductant.Biosynthesis	Altitude_group	Low	-0.000510413297666719	0.00266251250969529	9	9	0.853416678157274	0.964331385579049
Siderophore.Biosynthesis	Altitude_group	Low	0.000371436162652925	0.00243130534568435	9	9	0.882888266128789	0.964331385579049
Steroid.Degradation	Altitude_group	Low	0.000688957057319594	0.00182843173186711	9	9	0.717483028159555	0.964331385579049
Sugar.Biosynthesis	Altitude_group	Low	-0.00120627929346982	0.00390228346379716	9	9	0.766227009587018	0.964331385579049
Sugar.Derivative.Degradation	Altitude_group	Low	-0.00374383616431868	0.00495864514030334	9	9	0.474872748551003	0.964331385579049
Sulfur.Compound.Metabolism	Altitude_group	Low	0.00083764294369543	0.00202374839639877	9	9	0.691329969579415	0.964331385579049
TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.	Altitude_group	Low	0.00137040006137172	0.00183123470989029	9	9	0.478634490983035	0.964331385579049
TCA.cycle.VII..acetate.producers.	Altitude_group	Low	-0.00490776027176311	0.00892826513742443	9	9	0.599623873061991	0.964331385579049
Terpenoid.Biosynthesis	Altitude_group	Low	-0.000732536538451145	0.00258229494670657	9	9	0.784865152736392	0.964331385579049
Tetrapyrrole.Biosynthesis	Altitude_group	Low	0.000759576996461767	0.00247319074156387	9	9	0.767684059363491	0.964331385579049
Toluene.Degradation	Altitude_group	Low	0.00447040324710053	0.00887425836268601	9	9	0.629900767676045	0.964331385579049
Vanillin.Degradation	Altitude_group	Low	0.00165194745348844	0.00346045202427967	9	9	0.647637344853394	0.964331385579049
Vitamin.Biosynthesis	Altitude_group	Low	-0.00441035038887764	0.00540462965356159	9	9	0.441361846706681	0.964331385579049
aromatic.biogenic.amine.degradation..bacteria.	Altitude_group	Low	0.00224463257735113	0.00471509757931194	9	9	0.648536459926899	0.964331385579049
cob.II.yrinate.a.c.diamide.biosynthesis	Altitude_group	Low	-0.00245445092422193	0.00395879408067127	9	9	0.554895731197652	0.964331385579049
colanic.acid.building.blocks.biosynthesis	Altitude_group	Low	0.000785075978455903	0.00187161926159072	9	9	0.687450735587448	0.964331385579049
glycolysis.III..from.glucose.	Altitude_group	Low	-0.000414285913242418	0.00196555466467327	9	9	0.839068719135556	0.964331385579049
glycolysis.V..Pyrococcus.	Altitude_group	Low	0.000270914556668389	0.000676121983311838	9	2	0.700597166355734	0.964331385579049
glyoxylate.cycle	Altitude_group	Low	-0.000256333000782042	0.000973038079064911	9	9	0.799800974925875	0.964331385579049
methanol.oxidation.to.carbon.dioxide	Altitude_group	Low	0.00181226298682962	0.00255335510807887	9	9	0.50080676729422	0.964331385579049
methyl.ketone.biosynthesis..engineered.	Altitude_group	Low	-0.000570120654937903	0.00364169275399039	9	9	0.880016094661282	0.964331385579049
methylgallate.degradation	Altitude_group	Low	0.00188804195375361	0.0030502626401921	9	9	0.555531868881155	0.964331385579049
nylon.6.oligomer.degradation	Altitude_group	Low	-0.00178254286702051	0.00250057330989695	9	9	0.499003452018208	0.964331385579049
partial.TCA.cycle..obligate.autotrophs.	Altitude_group	Low	-0.000405720673101052	0.000686758437711078	9	9	0.573242087723453	0.964331385579049
pentose.phosphate.pathway	Altitude_group	Low	-0.000631601400311971	0.00118384127441268	9	9	0.610188603142943	0.964331385579049
phospholipases	Altitude_group	Low	-0.000819151399916916	0.00130637543467267	9	6	0.550527964612745	0.964331385579049
ppGpp.metabolism	Altitude_group	Low	-0.000897096881931826	0.0034585061225016	9	9	0.802798461793578	0.964331385579049
preQ0.biosynthesis	Altitude_group	Low	-0.000794388212635515	0.00217933751769218	9	9	0.726240466338324	0.964331385579049
superpathway.of.L.serine.and.glycine.biosynthesis.I	Altitude_group	Low	6.44706838652802e-05	0.000410260777636402	9	9	0.879566716033216	0.964331385579049
superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation	Altitude_group	Low	0.000272931957811248	0.00228528667139251	9	9	0.908289963672062	0.964331385579049
superpathway.of.N.acetylneuraminate.degradation	Altitude_group	Low	0.00053771732252638	0.00249488252764437	9	9	0.835500922946129	0.964331385579049
superpathway.of.aromatic.amino.acid.biosynthesis	Altitude_group	Low	0.000163769533480261	0.00161699028159105	9	9	0.922167806460073	0.964331385579049
superpathway.of.chorismate.metabolism	Altitude_group	Low	-0.000498518244964442	0.000959022131991117	9	9	0.619218226358021	0.964331385579049
superpathway.of.fucose.and.rhamnose.degradation	Altitude_group	Low	-0.000846607564845133	0.00108381362296518	9	4	0.460318666902366	0.964331385579049
superpathway.of.glycol.metabolism.and.degradation	Altitude_group	Low	0.000194274566852082	0.000648686512880405	9	4	0.773263839341366	0.964331385579049
superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass	Altitude_group	Low	0.000194909626853508	0.00203446760533272	9	9	0.926361461273609	0.964331385579049
superpathway.of.glyoxylate.bypass.and.TCA	Altitude_group	Low	0.00099071356276436	0.00375050513338727	9	9	0.799268859605576	0.964331385579049
superpathway.of.hexuronide.and.hexuronate.degradation	Altitude_group	Low	0.000545550248694986	0.00328229514778507	9	9	0.872690615300832	0.964331385579049
superpathway.of.methylglyoxal.degradation	Altitude_group	Low	0.00134411829271678	0.00175994100191496	9	2	0.469982335588905	0.964331385579049
superpathway.of.phenylethylamine.degradation	Altitude_group	Low	0.000860571162787763	0.00364877497661621	9	9	0.820299412677794	0.964331385579049
superpathway.of.purine.deoxyribonucleosides.degradation	Altitude_group	Low	-0.001792039801976	0.00242350765357164	9	9	0.483693219119505	0.964331385579049
superpathway.of.salicylate.degradation	Altitude_group	Low	-0.00218578538898097	0.00531967765536515	9	9	0.693442314069783	0.964331385579049
syringate.degradation	Altitude_group	Low	0.00225850013261533	0.00384921917484781	9	9	0.575802163363938	0.964331385579049
tRNA.charging	Altitude_group	Low	0.000192558583742723	0.00187191312937272	9	9	0.920953247952612	0.964331385579049
Benzoyl.CoA.Degradation	Altitude_group	Low	0.00019269831645279	0.00267580202057151	9	9	0.944604272071808	0.971026769192698
Proteinogenic.Amino.Acid.Degradation	Altitude_group	Low	-0.000562456543146771	0.00923071941353998	9	9	0.953115692722127	0.972972269653838
Glycan.Biosynthesis	Altitude_group	Low	-0.000163399958465534	0.0035394564134919	9	9	0.964467955461544	0.975173546055203
Sugar.Acid.Degradation	Altitude_group	Low	0.000169820205923564	0.00415498631197695	9	9	0.968539712408569	0.975173546055203
Phenolic.Compound.Degradation	Altitude_group	Low	0.000152767182146839	0.00559121818342887	9	9	0.978964978518911	0.978964978518911
